latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.47585,132.68855,325.51,2.46,1.51,2023-10-06,0035,T,62,6.1NRT,300.26,36.26,D
-13.03149,136.05209,331.33,1.36,1.15,2023-10-06,0035,T,78,6.1NRT,303.11,26.1,D
-13.0354,136.07664,327.25,1.35,1.15,2023-10-06,0035,T,72,6.1NRT,304.12,16.97,D
-12.48924,132.68626,337.54,2.46,1.51,2023-10-06,0035,T,85,6.1NRT,301.59,96.04,D
-12.49298,132.70825,339.94,2.45,1.51,2023-10-06,0035,T,87,6.1NRT,301.76,111.07,D
-12.82876,134.45033,342.78,1.77,1.3,2023-10-06,0035,T,89,6.1NRT,303.95,83.29,D
-12.83144,134.46631,328.82,1.77,1.3,2023-10-06,0035,T,76,6.1NRT,302.85,32.94,D
-12.84035,134.44849,328.08,1.77,1.3,2023-10-06,0035,T,74,6.1NRT,303.63,32.97,D
-12.84303,134.46457,326.61,1.77,1.3,2023-10-06,0035,T,72,6.1NRT,303.57,26.81,D
-12.89065,134.5378,326.65,1.74,1.29,2023-10-06,0035,T,62,6.1NRT,304.09,23.62,D
-12.89299,134.40665,325.18,1.78,1.31,2023-10-06,0035,T,61,6.1NRT,303.47,21.39,D
-12.89559,134.4227,323.34,1.78,1.31,2023-10-06,0035,T,50,6.1NRT,303.88,15.53,D
-12.89943,134.3727,334.06,1.79,1.31,2023-10-06,0035,T,82,6.1NRT,302.52,50.77,D
-12.90201,134.3887,351.9,1.79,1.31,2023-10-06,0035,T,95,6.1NRT,304.03,122.57,D
-12.91999,134.50034,335.74,1.75,1.3,2023-10-06,0035,T,84,6.1NRT,304.73,46.68,D
-12.92254,134.51617,339.25,1.75,1.3,2023-10-06,0035,T,87,6.1NRT,304.96,60.73,D
-12.89142,134.41652,327.29,1.78,1.31,2023-10-06,0035,T,66,6.1NRT,303.79,23.87,D
-12.89761,134.38271,342.81,1.79,1.31,2023-10-06,0035,T,90,6.1NRT,302.97,78.86,D
-12.9003,134.39857,327.56,1.78,1.31,2023-10-06,0035,T,50,6.1NRT,303.25,23.99,D
-12.9191,134.50989,330.05,1.75,1.3,2023-10-06,0035,T,70,6.1NRT,304.71,32.67,D
-12.92174,134.52556,328.66,1.74,1.29,2023-10-06,0035,T,49,6.1NRT,304.49,28.86,D
-12.90922,134.38069,332.35,1.79,1.31,2023-10-06,0035,T,74,6.1NRT,303.84,40.51,D
-12.92796,134.49225,322.34,1.75,1.3,2023-10-06,0035,T,22,6.1NRT,303.89,14.51,D
-12.93061,134.50806,323.9,1.75,1.3,2023-10-06,0035,T,58,6.1NRT,303.17,19.26,D
-12.95041,134.34084,329.91,1.8,1.31,2023-10-06,0035,T,57,6.1NRT,303.7,35.38,D
-13.68646,136.69426,320.63,1.22,1.1,2023-10-06,0035,T,39,6.1NRT,302.96,9.82,D
-13.14891,132.40154,329.91,2.51,1.52,2023-10-06,0035,T,78,6.1NRT,300.52,63.93,D
-13.5557,134.4437,323.01,1.72,1.29,2023-10-06,0035,T,57,6.1NRT,304.41,12.34,D
-13.5532,134.43803,325.54,1.72,1.29,2023-10-06,0035,T,71,6.1NRT,304.73,19.38,D
-13.79161,134.61989,323.6,1.65,1.26,2023-10-06,0035,T,52,6.1NRT,305.48,13.93,D
-13.80282,134.61795,326.22,1.65,1.26,2023-10-06,0035,T,72,6.1NRT,305.87,20.4,D
-13.8053,134.63295,325.84,1.65,1.26,2023-10-06,0035,T,71,6.1NRT,305.93,18.87,D
-13.8016,134.54066,327.3,1.68,1.27,2023-10-06,0035,T,74,6.1NRT,305.31,24.09,D
-13.8165,134.63101,332.74,1.65,1.26,2023-10-06,0035,T,81,6.1NRT,306.51,36.69,D
-15.61454,144.40448,323.55,1.78,1.31,2023-10-06,0035,T,68,6.1NRT,301.97,24.3,D
-16.05064,144.23561,328.21,1.75,1.3,2023-10-06,0035,T,64,6.1NRT,304.99,27.11,D
-16.05262,144.25172,328.13,1.76,1.3,2023-10-06,0035,T,67,6.1NRT,305.59,25.16,D
-16.06024,144.21812,325.28,1.75,1.3,2023-10-06,0035,T,21,6.1NRT,302.8,22.2,D
